distance,total_force
2154.5,-4.53006
2157.53,-4.51544
2160.56,-4.50089
2163.57,-4.48643
2166.57,-4.47204
2169.56,-4.45772
2172.53,-4.44349
2175.5,-4.42933
2178.45,-4.41524
2181.39,-4.40124
2184.31,-4.3873
2187.23,-4.37345
2190.13,-4.35966
2193.02,-4.34595
2195.9,-4.33231
2198.77,-4.31875
2201.62,-4.30526
2204.46,-4.29183
2207.29,-4.27848
2210.11,-4.26521
2212.91,-4.252
2215.7,-4.23886
2218.48,-4.22579
2221.25,-4.21279
2224.01,-4.19986
2226.75,-4.187
2229.48,-4.1742
2232.2,-4.16147
2234.91,-4.14881
2237.61,-4.13622
2240.29,-4.12369
2242.96,-4.11122
2245.62,-4.09883
2248.27,-4.08649
2250.91,-4.07422
2253.53,-4.06202
2256.14,-4.04988
2258.74,-4.0378
2261.33,-4.02578
2263.9,-4.01383
2266.47,-4.00194
2269.02,-3.99011
2271.56,-3.97834
2274.08,-3.96663
2276.6,-3.95498
2279.1,-3.94339
2281.59,-3.93186
2284.07,-3.92039
2286.54,-3.90898
2288.99,-3.89763
2291.44,-3.88633
2293.87,-3.8751
2296.29,-3.86391
2298.7,-3.85279
2301.09,-3.84172
2303.48,-3.83071
2305.85,-3.81975
2308.21,-3.80885
2310.56,-3.79801
2312.89,-3.78721
2315.22,-3.77648
2317.53,-3.76579
2319.83,-3.75516
2322.12,-3.74458
2324.4,-3.73406
2326.66,-3.72358
2328.92,-3.71316
2331.16,-3.70279
2333.39,-3.69247
2335.6,-3.68221
2337.81,-3.67199
2340.01,-3.66182
2342.19,-3.65171
2344.36,-3.64164
2346.52,-3.63162
2348.67,-3.62165
2350.8,-3.61173
2352.92,-3.60186
2355.04,-3.59203
2357.14,-3.58225
2359.23,-3.57252
2361.3,-3.56284
2363.37,-3.5532
2365.42,-3.54361
2367.46,-3.53407
2369.49,-3.52457
2371.51,-3.51511
2373.52,-3.5057
2375.51,-3.49634
2377.5,-3.48702
2379.47,-3.47774
2381.43,-3.46851
2383.38,-3.45932
2385.32,-3.45017
2387.24,-3.44107
2389.16,-3.43201
2391.06,-3.42299
2392.95,-3.41401
2394.83,-3.40508
2396.69,-3.39618
2398.55,-3.38733
2400.39,-3.37852
2402.23,-3.36975
2404.05,-3.36102
2405.86,-3.35232
2407.66,-3.34367
2409.44,-3.33506
2411.22,-3.32649
2412.98,-3.31795
2414.73,-3.30946
2416.47,-3.301
2418.2,-3.29258
2419.92,-3.2842
2421.62,-3.27585
2423.32,-3.26754
2425,-3.25927
2426.67,-3.25104
2428.33,-3.24284
2429.98,-3.23468
2431.62,-3.22656
2433.24,-3.21847
2434.86,-3.21041
2436.46,-3.20239
2438.05,-3.19441
2439.63,-3.18646
2441.2,-3.17854
2442.75,-3.17066
2444.3,-3.16282
2445.83,-3.155
2447.36,-3.14722
2448.87,-3.13947
2450.37,-3.13176
2451.86,-3.12408
2453.33,-3.11643
2454.8,-3.10881
2456.25,-3.10123
2457.7,-3.09368
2459.13,-3.08615
2460.55,-3.07866
2461.96,-3.07121
2463.35,-3.06378
2464.74,-3.05638
2466.12,-3.04901
2467.48,-3.04168
2468.83,-3.03437
2470.17,-3.02709
2471.5,-3.01984
2472.82,-3.01263
2474.13,-3.00544
2475.42,-2.99828
2476.71,-2.99114
2477.98,-2.98404
2479.24,-2.97697
2480.49,-2.96992
2481.73,-2.9629
2482.96,-2.95591
2484.18,-2.94894
2485.38,-2.94201
2486.57,-2.9351
