distance,total_force
1706.68,3.75265
1706.52,3.73896
1706.37,3.72515
1706.23,3.71121
1706.09,3.69715
1705.96,3.68296
1705.83,3.66865
1705.72,3.65422
1705.61,3.63967
1705.5,3.62499
1705.41,3.61019
1705.32,3.59527
1705.23,3.58023
1705.16,3.56508
1705.09,3.54981
1705.02,3.53442
1704.97,3.51891
1704.92,3.50329
1704.88,3.48756
1704.84,3.47171
1704.81,3.45575
1704.79,3.43967
1704.77,3.42349
1704.76,3.40719
1704.76,3.39079
1704.77,3.37673
1704.78,3.39317
1704.8,3.40949
1704.82,3.42571
1704.85,3.44181
1704.89,3.4578
1704.94,3.47368
1704.99,3.48945
1705.05,3.5051
1705.11,3.52064
1705.19,3.53606
1705.27,3.55136
1705.35,3.56655
1705.44,3.58161
1705.54,3.59656
1705.65,3.61139
1705.76,3.6261
1705.88,3.64068
1706.01,3.65515
1706.14,3.66949
1706.28,3.6837
1706.43,3.6978
1706.58,3.71177
1706.74,3.72561
1706.91,3.73932
1707.08,3.75291
1707.26,3.76637
1707.45,3.77971
1707.64,3.79291
1707.84,3.80599
1708.05,3.81893
1708.26,3.83175
1708.48,3.84443
1708.71,3.85698
1708.94,3.8694
1709.18,3.88169
1709.43,3.89384
1709.68,3.90586
1709.94,3.91775
1710.21,3.9295
1710.48,3.94112
1710.76,3.9526
1711.05,3.96395
1711.34,3.97515
1711.64,3.98623
1711.95,3.99716
1712.26,4.00796
1712.58,4.01862
1712.91,4.02914
1713.24,4.03953
1713.58,4.04977
1713.92,4.05988
1714.28,4.06985
1714.63,4.07968
1715,4.08936
1715.37,4.09891
1715.75,4.10832
1716.13,4.11759
1716.52,4.12672
1716.92,4.1357
1717.32,4.14455
1717.73,4.15325
1718.15,4.16181
1718.57,4.17024
1719,4.17851
1719.43,4.18665
1719.87,4.19465
1720.32,4.2025
1720.78,4.21022
1721.24,4.21779
1721.7,4.22522
1722.17,4.2325
1722.65,4.23965
1723.14,4.24665
1723.63,4.25352
1724.13,4.26024
1724.63,4.26681
1725.14,4.27325
1725.66,4.27954
1726.18,4.2857
1726.71,4.29171
1727.24,4.29758
1727.78,4.3033
1728.33,4.30889
1728.88,4.31434
1729.44,4.31964
1730,4.32481
1730.57,4.32983
1731.15,4.33471
1731.73,4.33946
1732.32,4.34406
1732.92,4.34852
1733.52,4.35285
1734.12,4.35703
1734.73,4.36108
1735.35,4.36499
1735.98,4.36876
1736.61,4.37239
1737.24,4.37588
1737.88,4.37923
1738.53,4.38245
1739.18,4.38553
1739.84,4.38848
1740.5,4.39129
1741.17,4.39396
1741.85,4.3965
1742.53,4.3989
1743.22,4.40117
1743.91,4.4033
1744.61,4.4053
1745.31,4.40717
1746.02,4.4089
1746.73,4.4105
1747.45,4.41197
1748.18,4.41331
1748.91,4.41452
1749.65,4.41559
1750.39,4.41654
1751.14,4.41735
1751.89,4.41804
1752.65,4.4186
1753.41,4.41903
1754.18,4.41933
1754.96,4.41951
1755.73,4.41956
1756.52,4.41948
1757.31,4.41928
1758.1,4.41895
1758.9,4.4185
1759.71,4.41793
1760.52,4.41723
1761.34,4.41641
1762.16,4.41547
1762.98,4.4144
1763.82,4.41322
1764.65,4.41192
1765.49,4.41049
1766.34,4.40895
1767.19,4.40729
1768.05,4.40551
1768.91,4.40362
1769.77,4.40161
1770.64,4.39948
1771.52,4.39724
1772.4,4.39489
1773.29,4.39242
1774.18,4.38984
1775.07,4.38715
1775.97,4.38434
1776.88,4.38143
1777.79,4.3784
1778.7,4.37527
1779.62,4.37203
1780.54,4.36868
1781.47,4.36522
1782.4,4.36166
1783.34,4.35799
1784.28,4.35421
1785.23,4.35033
1786.18,4.34635
1787.13,4.34227
1788.09,4.33808
1789.05,4.33379
1790.02,4.3294
1791,4.32492
1791.97,4.32033
1792.95,4.31564
1793.94,4.31086
1794.93,4.30598
1795.92,4.301
1796.92,4.29593
1797.93,4.29077
1798.93,4.28551
1799.94,4.28016
1800.96,4.27471
1801.98,4.26918
1803,4.26355
1804.03,4.25784
1805.06,4.25203
1806.09,4.24614
