distance,acceleration_a,acceleration_b
1492.22,0.376275,0.000440561
1501.4,0.371687,0.000435189
1510.31,0.367314,0.000430069
1518.95,0.363146,0.000425188
1527.33,0.359173,0.000420536
1535.45,0.355386,0.000416103
1543.3,0.351777,0.000411878
1550.9,0.34834,0.000407853
1558.24,0.345066,0.000404019
1565.32,0.341949,0.00040037
1572.16,0.338983,0.000396897
1578.74,0.336162,0.000393594
1585.07,0.33348,0.000390455
1591.16,0.330934,0.000387473
1597,0.328518,0.000384644
1602.6,0.326227,0.000381962
1607.95,0.324058,0.000379423
1613.06,0.322007,0.000377022
1617.94,0.320071,0.000374754
1622.57,0.318246,0.000372617
1626.96,0.316529,0.000370607
1631.12,0.314917,0.00036872
1635.04,0.313408,0.000366953
1638.73,0.311999,0.000365303
1642.19,0.310688,0.000363768
1645.41,0.309473,0.000362345
1648.39,0.308352,0.000361033
1651.15,0.307323,0.000359829
1653.68,0.306385,0.000358731
1655.97,0.305537,0.000357737
1658.04,0.304776,0.000356847
1659.87,0.304103,0.000356058
1661.48,0.303515,0.00035537
1662.85,0.303012,0.000354781
1664,0.302594,0.000354292
1664.92,0.302259,0.0003539
1665.62,0.302008,0.000353605
1666.08,0.301839,0.000353408
1666.32,0.301753,0.000353307
1666.33,0.30175,0.000353303
1666.11,0.301828,0.000353395
1665.67,0.30199,0.000353584
1665,0.302234,0.000353869
1664.09,0.302561,0.000354253
